scan_date,ticker,company,strategy,strategies_count,price_at_scan,score,wr,avg,adx,rsi,vol_ratio,price_d5,ret_d5,r_multiple_d5,spy_ret_d5,excess_ret_d5,hit_stop_loss_d5,price_d10,ret_d10,r_multiple_d10,spy_ret_d10,excess_ret_d10,hit_stop_loss_d10,max_drawdown_d10
2026-06-23,ABBV,,pocket_pivot,1,230.01,6,,,17.0,66.8,1.72,254.31,10.56,,1.01,9.55,0,254.76,10.76,3.59,2.41,8.35,0,0.56
2026-06-23,ROK,,pocket_pivot,3,478.08,5,,,16.7,59.6,1.36,482.33,0.89,,1.01,-0.12,0,482.87,1.0,0.33,2.41,-1.41,1,-4.68
2026-06-23,DCC.L,,connors_rsi2,1,6160.0,4,,,54.9,73.1,0.17,6230.0,1.14,,,,0,6190.0,0.49,,,,1,-6.98
2026-06-23,ACA.PA,,connors_rsi2,3,17.67,4,,,22.5,82.7,0.07,17.385,-1.61,,,,0,17.79,0.68,,,,0,-1.84
2026-06-23,APO,,connors_rsi2,1,135.21,2,,,28.0,62.5,1.18,114.83,-15.07,,1.01,-16.08,1,122.17,-9.64,-3.21,2.41,-12.05,1,-15.66
2026-06-23,ALL,,ema_ribbon,2,222.56,3,,,20.4,68.7,1.64,241.38,8.46,,1.01,7.45,0,248.37,11.6,3.87,2.41,9.19,0,0.94
2026-06-23,TROW,,ema_ribbon,1,107.99,2,,,32.7,73.1,1.12,114.38,5.92,,1.01,4.91,0,119.12,10.31,3.44,2.41,7.9,1,-3.32
2026-06-23,XYZ,,ema_ribbon,1,73.07,1,,,13.5,44.7,0.84,78.02,6.77,,1.01,5.76,0,78.92,8.01,2.67,2.41,5.6,0,-2.15
2026-06-23,RJF,,ema_ribbon,1,156.65,1,,,16.3,75.2,1.27,149.08,-4.83,,1.01,-5.84,1,166.41,6.23,2.08,2.41,3.82,1,-6.72
2026-06-23,BNY,,nr7,1,146.44,4,,,36.1,57.1,1.03,143.8,-1.8,,1.01,-2.81,0,149.96,2.4,0.8,2.41,-0.01,1,-3.18
2026-06-23,GE,,nr7,1,355.12,4,,,33.1,66.8,1.1,373.71,5.23,,1.01,4.22,0,378.68,6.63,2.21,2.41,4.22,0,-2.19
2026-06-23,MS,,nr7,1,227.09,4,,,42.1,65.1,1.07,211.72,-6.77,,1.01,-7.78,1,222.1,-2.2,-0.73,2.41,-4.61,1,-8.97
2026-06-23,UAL,,nr7,3,118.68,4,,,29.7,58.0,1.18,135.19,13.91,,1.01,12.9,0,132.5,11.64,3.88,2.41,9.23,0,-1.61
2026-06-23,CARR,,nr7,3,71.85,3,,,22.3,67.4,0.73,73.43,2.2,,1.01,1.19,0,70.1,-2.44,-0.81,2.41,-4.85,1,-3.47
2026-06-23,CASY,,nr7,1,831.67,3,,,26.2,64.3,0.56,780.24,-6.18,,1.01,-7.19,1,807.18,-2.94,-0.98,2.41,-5.35,1,-8.29
